,Nspec,Nbins,WvlStart,WvlEnd,SplineKnots,SN,dm15,TypeStr,TypeInt,SubTypeInt,WFF subtype int,WFF subtype str,WFF broadtype int,WFF broadtype str
492,19,1024,2500.0,10000.0,11,sn1999dq,0.86,Ia-91T,1,3,1,Ia-91T,0,Ia
493,1,1024,2500.0,10000.0,9,sn2008L,1.38,Ia-norm,1,2,0,Ia-norm,0,Ia
494,13,1024,2500.0,10000.0,9,sn1997cn,1.9,Ia-91bg,1,4,2,Ia-91bg,0,Ia
495,1,1024,2500.0,10000.0,10,sn98ec,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
496,25,1024,2500.0,10000.0,11,sn1989B,1.18,Ia-norm,1,2,0,Ia-norm,0,Ia
497,10,1024,2500.0,10000.0,9,sn2005M,0.87,Ia-91T,1,3,1,Ia-91T,0,Ia
498,12,1024,2500.0,10000.0,10,sn2003ch,1.22,Ia-norm,1,2,0,Ia-norm,0,Ia
499,5,1024,2500.0,10000.0,9,sn2004dn,-9.99,Ic-norm,3,2,10,Ic-norm,2,Ic
500,4,1024,2500.0,10000.0,10,sn06N,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
501,9,1024,2500.0,10000.0,9,sn2006S,0.93,Ia-norm,1,2,0,Ia-norm,0,Ia
