,Nspec,Nbins,WvlStart,WvlEnd,SplineKnots,SN,dm15,TypeStr,TypeInt,SubTypeInt,WFF subtype int,WFF subtype str,WFF broadtype int,WFF broadtype str
307,26,1024,2500.0,10000.0,11,sn2001ep,1.3,Ia-norm,1,2,0,Ia-norm,0,Ia
308,1,1024,2500.0,10000.0,8,sn2004bk,1.02,Ia-norm,1,2,0,Ia-norm,0,Ia
309,21,1024,2500.0,10000.0,9,sn1990B,-9.99,Ic-norm,3,2,10,Ic-norm,2,Ic
310,3,1024,2500.0,10000.0,11,sn1999ex,-9.99,Ib-norm,2,2,6,Ib-norm,1,Ib
311,2,1024,2500.0,10000.0,11,sn2007cl,-9.99,Ic-norm,3,2,10,Ic-norm,2,Ic
312,1,1024,2500.0,10000.0,11,sn07bd,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
313,11,1024,2500.0,10000.0,10,sn2009mg,-9.99,IIb,2,4,8,IIb,1,Ib
314,7,1024,2500.0,10000.0,8,sn1998de,1.88,Ia-91bg,1,4,2,Ia-91bg,0,Ia
315,1,1024,2500.0,10000.0,9,sn2006bq,1.29,Ia-norm,1,2,0,Ia-norm,0,Ia
316,7,1024,2500.0,10000.0,8,sn2002dp,1.12,Ia-norm,1,2,0,Ia-norm,0,Ia
317,1,1024,2500.0,10000.0,8,sn2000dm,1.46,Ia-norm,1,2,0,Ia-norm,0,Ia
318,38,1024,2500.0,10000.0,12,sn2007if,0.71,Ia-pec,1,6,5,Ia-pec,0,Ia
319,6,1024,2500.0,10000.0,10,sn91bg,-9.99,Ia-91bg,1,4,2,Ia-91bg,0,Ia
320,2,1024,2500.0,10000.0,8,sn1995ac,0.77,Ia-91T,1,2,1,Ia-91T,0,Ia
321,2,1024,2500.0,10000.0,10,sn00dm,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
322,7,1024,2500.0,10000.0,9,sn2007bj,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
323,2,1024,2500.0,10000.0,10,sn07bc,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
324,10,1024,2500.0,10000.0,9,sn2006cp,0.98,Ia-norm,1,2,0,Ia-norm,0,Ia
325,5,1024,2500.0,10000.0,10,sn2008C,1.11,Ia-norm,1,2,0,Ia-norm,0,Ia
